,name,dob,nat,score,events,environment,race,date,performance,place
0,Austin HONE,,USA,956,1500m [Mile ind.],Outdoor,800 Metres,14 MAY 2021,1:55.70,"UT Rio Grande Valley, Edinburg, TX (USA)"
1,Austin HONE,,USA,956,1500m [Mile ind.],Outdoor,1500 Metres,23 APR 2021,3:55.90,"Hayward Field, Eugene, OR (USA)"
2,Austin HONE,,USA,956,1500m [Mile ind.],Outdoor,1500 Metres,15 APR 2022,3:49.45,"Cougar Athletic Stadium, Azusa, CA (USA)"
3,Austin HONE,,USA,956,1500m [Mile ind.],Outdoor,One Mile,23 APR 2022,4:13.94,"Clarence F. Robison Track, Provo, UT (USA)"
4,Austin HONE,,USA,956,1500m [Mile ind.],Outdoor,3000 Metres,15 JAN 2022,8:27.20,"Smith Fieldhouse, BYU, Provo, UT (USA)"
5,Austin HONE,,USA,956,1500m [Mile ind.],Outdoor,5000 Metres,15 MAY 2021,15:23.98,"UT Rio Grande Valley, Edinburg, TX (USA)"
6,Austin HONE,,USA,956,1500m [Mile ind.],Outdoor,5000 Metres,14 MAY 2022,14:52.49,"UW Husky Track, Seattle, WA (USA)"
7,Austin HONE,,USA,956,1500m [Mile ind.],Outdoor,2000 Metres Steeplechase,12 MAR 2022,6:09.61,"UC Davis Woody Wilson Track, Davis, CA (USA)"
8,Austin HONE,,USA,956,1500m [Mile ind.],Outdoor,3000 Metres Steeplechase,30 APR 2022,9:43.72,"Davis Field, Pocatello, ID (USA)"
9,Austin HONE,,USA,956,1500m [Mile ind.],Indoor,800 Metres,05 FEB 2022,1:58.94,"Weber State-Swenson Gym, Ogden, UT (USA)"
10,Austin HONE,,USA,956,1500m [Mile ind.],Indoor,One Mile,29 JAN 2022,4:15.52,"Holt Arena, Pocatello, ID (USA)"
11,Austin HONE,,USA,956,1500m [Mile ind.],Indoor,3000 Metres,19 FEB 2022,8:43.62,"Convention Center, Albuquerque, NM (USA)"
12,Harrison MARTINENKO,2001,AUS,956,1500m [Mile ind.],Outdoor,800 Metres,27 OCT 2018,1:55.47,Brisbane (AUS)
13,Harrison MARTINENKO,2001,AUS,956,1500m [Mile ind.],Outdoor,800 Metres,23 MAR 2019,1:54.07,Brisbane (AUS)
14,Harrison MARTINENKO,2001,AUS,956,1500m [Mile ind.],Outdoor,800 Metres,05 MAR 2020,1:55.72,"QSAC, Nathan, Brisbane (AUS)"
15,Harrison MARTINENKO,2001,AUS,956,1500m [Mile ind.],Outdoor,800 Metres,24 APR 2021,1:53.01,"Gibson Track & Field Complex, Terre Haute, IN (USA)"
16,Harrison MARTINENKO,2001,AUS,956,1500m [Mile ind.],Outdoor,800 Metres,23 APR 2022,1:54.71,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)"
17,Harrison MARTINENKO,2001,AUS,956,1500m [Mile ind.],Outdoor,1500 Metres,02 FEB 2019,3:58.84,Brisbane (AUS)
18,Harrison MARTINENKO,2001,AUS,956,1500m [Mile ind.],Outdoor,1500 Metres,18 JAN 2020,4:01.97,"QSAC, Nathan, Brisbane (AUS)"
19,Harrison MARTINENKO,2001,AUS,956,1500m [Mile ind.],Outdoor,1500 Metres,09 APR 2021,3:50.89,"Audrey J. Walton Stadium, Warrensburg, MO (USA)"
20,Harrison MARTINENKO,2001,AUS,956,1500m [Mile ind.],Outdoor,1500 Metres,22 APR 2022,3:50.26,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)"
21,Harrison MARTINENKO,2001,AUS,956,1500m [Mile ind.],Outdoor,One Mile,05 FEB 2022,4:12.09,"Loftus Sports Center, South Bend, IN (USA)"
22,Harrison MARTINENKO,2001,AUS,956,1500m [Mile ind.],Outdoor,3000 Metres,09 FEB 2019,8:47.73,Brisbane (AUS)
23,Harrison MARTINENKO,2001,AUS,956,1500m [Mile ind.],Outdoor,3000 Metres,08 FEB 2020,8:46.91,"QSAC, Nathan, Brisbane (AUS)"
24,Harrison MARTINENKO,2001,AUS,956,1500m [Mile ind.],Indoor,800 Metres,22 JAN 2022,1:57.70,"Gladstein Fieldhouse Indiana Un., Bloomington, IN (USA)"
25,Harrison MARTINENKO,2001,AUS,956,1500m [Mile ind.],Indoor,1000 Metres,26 FEB 2022,2:29.12,"George Mason-Rec. Sports Complex, Fairfax, VA (USA)"
26,Harrison MARTINENKO,2001,AUS,956,1500m [Mile ind.],Indoor,One Mile,27 FEB 2022,4:12.68,"George Mason-Rec. Sports Complex, Fairfax, VA (USA)"
27,Harrison MARTINENKO,2001,AUS,956,1500m [Mile ind.],Indoor,3000 Metres,10 DEC 2021,8:36.39,"Gladstein Fieldhouse Indiana Un., Bloomington, IN (USA)"
28,Matias FØRDE,26 NOV 1998,NOR,956,1500m [1500m ind.],Outdoor,800 Metres,01 JUL 2020,1:58.30,"Fana Stadion, Bergen (NOR)"
29,Matias FØRDE,26 NOV 1998,NOR,956,1500m [1500m ind.],Outdoor,800 Metres,22 AUG 2021,1:54.72,"Fana Stadion, Bergen (NOR)"
30,Matias FØRDE,26 NOV 1998,NOR,956,1500m [1500m ind.],Outdoor,800 Metres,26 JUN 2022,1:53.90,"Øverlands Minde, Stjørdal (NOR)"
31,Matias FØRDE,26 NOV 1998,NOR,956,1500m [1500m ind.],Outdoor,1500 Metres,17 JUN 2020,3:58.04,"Fana Stadion, Bergen (NOR)"
32,Matias FØRDE,26 NOV 1998,NOR,956,1500m [1500m ind.],Outdoor,1500 Metres,18 AUG 2021,3:52.11,"Fana Stadion, Bergen (NOR)"
33,Matias FØRDE,26 NOV 1998,NOR,956,1500m [1500m ind.],Outdoor,1500 Metres,22 JUL 2022,3:51.51,"Bislett Stadion, Oslo (NOR)"
34,Matias FØRDE,26 NOV 1998,NOR,956,1500m [1500m ind.],Outdoor,3000 Metres,29 JUL 2020,8:37.36,"Fana Stadion, Bergen (NOR)"
35,Matias FØRDE,26 NOV 1998,NOR,956,1500m [1500m ind.],Outdoor,3000 Metres,17 JUL 2021,8:18.73,"Stadion, Førde (NOR)"
36,Matias FØRDE,26 NOV 1998,NOR,956,1500m [1500m ind.],Outdoor,3000 Metres,11 JUN 2022,8:19.57,"Fana Stadion, Bergen (NOR)"
37,Matias FØRDE,26 NOV 1998,NOR,956,1500m [1500m ind.],Outdoor,5000 Metres,29 JUN 2020,15:00.59,"Bislett Stadion, Oslo (NOR)"
