,name,dob,nat,score,events,environment,race,date,performance,place
0,Greg HETTERLEY,1997,CAN,969,1500m [1500m ind.],Outdoor,800 Metres,09 JUN 2019,1:50.92,"Portland, OR (USA)"
1,Greg HETTERLEY,1997,CAN,969,1500m [1500m ind.],Outdoor,800 Metres,12 JUN 2021,1:57.06,"Gordie Howe Sports Complex, Saskatoon (CAN)"
2,Greg HETTERLEY,1997,CAN,969,1500m [1500m ind.],Outdoor,800 Metres,14 MAY 2022,1:56.53,"Canada Games Stadium, Regina (CAN)"
3,Greg HETTERLEY,1997,CAN,969,1500m [1500m ind.],Outdoor,1500 Metres,15 AUG 2014,4:06.25,Langley (CAN)
4,Greg HETTERLEY,1997,CAN,969,1500m [1500m ind.],Outdoor,1500 Metres,08 AUG 2015,4:05.15,Wood Buffalo (CAN)
5,Greg HETTERLEY,1997,CAN,969,1500m [1500m ind.],Outdoor,1500 Metres,14 JUL 2017,3:51.46,Winnipeg (CAN)
6,Greg HETTERLEY,1997,CAN,969,1500m [1500m ind.],Outdoor,1500 Metres,12 MAY 2018,3:51.51,"Adrian, MI (USA)"
7,Greg HETTERLEY,1997,CAN,969,1500m [1500m ind.],Outdoor,1500 Metres,16 JUN 2019,3:47.57,London (CAN)
8,Greg HETTERLEY,1997,CAN,969,1500m [1500m ind.],Outdoor,1500 Metres,08 JUL 2022,3:47.41,"Griswold Stadium, Portland, OR (USA)"
9,Greg HETTERLEY,1997,CAN,969,1500m [1500m ind.],Outdoor,3000 Metres,16 AUG 2014,8:40.54,Langley (CAN)
10,Greg HETTERLEY,1997,CAN,969,1500m [1500m ind.],Outdoor,3000 Metres,11 AUG 2015,8:55.40,Wood Buffalo (CAN)
11,Greg HETTERLEY,1997,CAN,969,1500m [1500m ind.],Outdoor,3000 Metres,28 MAY 2017,8:51.86,St. Albert (CAN)
12,Greg HETTERLEY,1997,CAN,969,1500m [1500m ind.],Outdoor,3000 Metres,26 JUN 2018,8:36.23,Burnaby (CAN)
13,Greg HETTERLEY,1997,CAN,969,1500m [1500m ind.],Outdoor,3000 Metres Steeplechase,10 JUN 2017,10:10.66,Regina (CAN)
14,Greg HETTERLEY,1997,CAN,969,1500m [1500m ind.],Indoor,600 Metres,05 DEC 2015,1:25.83,Regina (CAN)
15,Greg HETTERLEY,1997,CAN,969,1500m [1500m ind.],Indoor,600 Metres,02 FEB 2019,1:20.37,Winnipeg (CAN)
16,Greg HETTERLEY,1997,CAN,969,1500m [1500m ind.],Indoor,600 Metres,14 JAN 2022,1:24.83,"Field House, Saskatoon (CAN)"
17,Greg HETTERLEY,1997,CAN,969,1500m [1500m ind.],Indoor,800 Metres,20 MAR 2015,2:01.45,Saskatoon (CAN)
18,Greg HETTERLEY,1997,CAN,969,1500m [1500m ind.],Indoor,1000 Metres,06 FEB 2016,2:30.71,Winnipeg (CAN)
19,Greg HETTERLEY,1997,CAN,969,1500m [1500m ind.],Indoor,1000 Metres,10 FEB 2017,2:30.40,Edmonton (CAN)
20,Greg HETTERLEY,1997,CAN,969,1500m [1500m ind.],Indoor,1000 Metres,23 FEB 2018,2:27.22,Winnipeg (CAN)
21,Greg HETTERLEY,1997,CAN,969,1500m [1500m ind.],Indoor,1000 Metres,09 FEB 2019,2:24.84,"Boston, MA (USA)"
22,Greg HETTERLEY,1997,CAN,969,1500m [1500m ind.],Indoor,1000 Metres,11 FEB 2022,2:31.13,"Universiade Pavilion, Edmonton (CAN)"
23,Greg HETTERLEY,1997,CAN,969,1500m [1500m ind.],Indoor,1500 Metres,01 FEB 2014,4:07.14,Winnipeg (CAN)
24,Greg HETTERLEY,1997,CAN,969,1500m [1500m ind.],Indoor,1500 Metres,07 FEB 2015,4:01.89,Winnipeg (CAN)
25,Greg HETTERLEY,1997,CAN,969,1500m [1500m ind.],Indoor,1500 Metres,27 FEB 2016,4:00.77,Saskatoon (CAN)
26,Greg HETTERLEY,1997,CAN,969,1500m [1500m ind.],Indoor,1500 Metres,04 FEB 2017,3:59.45,Winnipeg (CAN)
27,Greg HETTERLEY,1997,CAN,969,1500m [1500m ind.],Indoor,1500 Metres,10 FEB 2018,3:54.50,"Universiade Pavilion, Edmonton (CAN)"
28,Greg HETTERLEY,1997,CAN,969,1500m [1500m ind.],Indoor,1500 Metres,19 JAN 2019,3:53.48,Edmonton (CAN)
29,Greg HETTERLEY,1997,CAN,969,1500m [1500m ind.],Indoor,1500 Metres,07 FEB 2020,4:06.04,"Fieldhouse, Regina (CAN)"
30,Greg HETTERLEY,1997,CAN,969,1500m [1500m ind.],Indoor,1500 Metres,26 FEB 2022,3:55.40,"James Daly Fieldhouse, Winnipeg (CAN)"
31,Greg HETTERLEY,1997,CAN,969,1500m [1500m ind.],Indoor,One Mile,12 JAN 2019,4:14.44,Saskatoon (CAN)
