,name,dob,nat,score,events,environment,race,date,performance,place
32,Greg HETTERLEY,1997,CAN,969,1500m [1500m ind.],Indoor,3000 Metres,17 JAN 2014,8:52.92,Edmonton (CAN)
33,Greg HETTERLEY,1997,CAN,969,1500m [1500m ind.],Indoor,3000 Metres,06 FEB 2015,8:46.21,Winnipeg (CAN)
34,Greg HETTERLEY,1997,CAN,969,1500m [1500m ind.],Indoor,3000 Metres,08 DEC 2018,8:49.82,Regina (CAN)
35,Greg HETTERLEY,1997,CAN,969,1500m [1500m ind.],Indoor,4x800 Metres Relay,09 MAR 2018,7:38.95,Windsor (CAN)
36,Greg HETTERLEY,1997,CAN,969,1500m [1500m ind.],Indoor,4x800 Metres Relay,01 FEB 2019,7:40.68,Winnipeg (CAN)
37,Thomas PATRICK,04 JUL 2001,GBR,969,1500m,Outdoor,800 Metres,03 JUN 2017,1:54.71,Milton Keynes (GBR)
38,Thomas PATRICK,04 JUL 2001,GBR,969,1500m,Outdoor,800 Metres,13 JUN 2018,1:53.83,Watford (GBR)
39,Thomas PATRICK,04 JUL 2001,GBR,969,1500m,Outdoor,800 Metres,21 AUG 2019,1:55.00,Watford (GBR)
40,Thomas PATRICK,04 JUL 2001,GBR,969,1500m,Outdoor,800 Metres,18 MAY 2022,1:52.55,"Woodside Stadium, Watford (GBR)"
41,Thomas PATRICK,04 JUL 2001,GBR,969,1500m,Outdoor,1500 Metres,14 JUN 2017,3:56.25,Watford (GBR)
42,Thomas PATRICK,04 JUL 2001,GBR,969,1500m,Outdoor,1500 Metres,02 MAY 2018,3:55.06,Watford (GBR)
43,Thomas PATRICK,04 JUL 2001,GBR,969,1500m,Outdoor,1500 Metres,15 MAY 2019,3:56.80,Watford (GBR)
44,Thomas PATRICK,04 JUL 2001,GBR,969,1500m,Outdoor,1500 Metres,12 JUN 2021,3:50.75,"Woodside Stadium, Watford (GBR)"
45,Thomas PATRICK,04 JUL 2001,GBR,969,1500m,Outdoor,1500 Metres,10 AUG 2022,3:47.88,"Loughborough University Track, Loughborough (GBR)"
46,Thomas PATRICK,04 JUL 2001,GBR,969,1500m,Outdoor,3000 Metres,19 APR 2017,8:44.64,Watford (GBR)
47,Thomas PATRICK,04 JUL 2001,GBR,969,1500m,Indoor,800 Metres,14 FEB 2018,1:54.20,Lee Valley (GBR)
48,Elliot METCALF,29 MAR 2000,AUS,969,1500m [Mile ind.],Outdoor,800 Metres,24 MAR 2016,1:58.60,Sydney (AUS)
49,Elliot METCALF,29 MAR 2000,AUS,969,1500m [Mile ind.],Outdoor,800 Metres,02 NOV 2017,1:55.29,Sydney (AUS)
50,Elliot METCALF,29 MAR 2000,AUS,969,1500m [Mile ind.],Outdoor,800 Metres,11 FEB 2018,1:54.74,Sydney (AUS)
51,Elliot METCALF,29 MAR 2000,AUS,969,1500m [Mile ind.],Outdoor,800 Metres,24 FEB 2019,1:56.70,Sydney (AUS)
52,Elliot METCALF,29 MAR 2000,AUS,969,1500m [Mile ind.],Outdoor,800 Metres,17 MAR 2022,1:58.54,"Tom Tellez Track, Houston, TX (USA)"
53,Elliot METCALF,29 MAR 2000,AUS,969,1500m [Mile ind.],Outdoor,1500 Metres,22 OCT 2016,4:03.61,Sydney (AUS)
54,Elliot METCALF,29 MAR 2000,AUS,969,1500m [Mile ind.],Outdoor,1500 Metres,23 NOV 2017,3:52.95,Sydney (AUS)
55,Elliot METCALF,29 MAR 2000,AUS,969,1500m [Mile ind.],Outdoor,1500 Metres,26 JAN 2018,3:49.51,Canberra (AUS)
56,Elliot METCALF,29 MAR 2000,AUS,969,1500m [Mile ind.],Outdoor,1500 Metres,23 FEB 2019,3:56.49,Sydney (AUS)
57,Elliot METCALF,29 MAR 2000,AUS,969,1500m [Mile ind.],Outdoor,1500 Metres,23 APR 2022,3:50.13,"Rice University Ley Track/Holloway Field, Houston, TX (USA)"
58,Elliot METCALF,29 MAR 2000,AUS,969,1500m [Mile ind.],Outdoor,One Mile,23 DEC 2017,4:16.13,Sydney (AUS)
59,Elliot METCALF,29 MAR 2000,AUS,969,1500m [Mile ind.],Outdoor,One Mile,22 DEC 2018,4:08.71,Sydney (AUS)
60,Elliot METCALF,29 MAR 2000,AUS,969,1500m [Mile ind.],Outdoor,3000 Metres,12 NOV 2016,8:54.83,Sydney (AUS)
61,Elliot METCALF,29 MAR 2000,AUS,969,1500m [Mile ind.],Outdoor,3000 Metres,28 JUN 2017,8:41.17,Suva (FIJ)
62,Elliot METCALF,29 MAR 2000,AUS,969,1500m [Mile ind.],Outdoor,3000 Metres,10 NOV 2018,8:30.67,Sydney (AUS)
63,Elliot METCALF,29 MAR 2000,AUS,969,1500m [Mile ind.],Outdoor,5000 Metres,15 MAY 2022,15:14.73,"Park West Ath. Complex, San Antonio, TX (USA)"
64,Elliot METCALF,29 MAR 2000,AUS,969,1500m [Mile ind.],Indoor,800 Metres,29 FEB 2020,1:53.82,"Houston-Yeoman FH, Houston, TX (USA)"
65,Elliot METCALF,29 MAR 2000,AUS,969,1500m [Mile ind.],Indoor,One Mile,08 FEB 2020,4:09.85,"Gilliam Indoor Track, College Station, TX (USA)"
66,Elliot METCALF,29 MAR 2000,AUS,969,1500m [Mile ind.],Indoor,One Mile,28 JAN 2022,4:10.76,"Houston-Yeoman FH, Houston, TX (USA)"
67,Elliot METCALF,29 MAR 2000,AUS,969,1500m [Mile ind.],Indoor,3000 Metres,08 FEB 2020,8:48.86,"Gilliam Indoor Track, College Station, TX (USA)"
68,Elliot METCALF,29 MAR 2000,AUS,969,1500m [Mile ind.],Indoor,3000 Metres,29 JAN 2022,8:12.98,"Houston-Yeoman FH, Houston, TX (USA)"
69,Jared MONK,24 JUN 1996,NZL,969,1500m [Mile],Outdoor,800 Metres,29 NOV 2014,1:58.78,Christchurch (NZL)
70,Jared MONK,24 JUN 1996,NZL,969,1500m [Mile],Outdoor,800 Metres,20 JAN 2017,1:56.14,Wellington (NZL)
71,Jared MONK,24 JUN 1996,NZL,969,1500m [Mile],Outdoor,800 Metres,30 JAN 2021,2:00.14,"The Caledonian Ground, Dunedin (NZL)"
72,Jared MONK,24 JUN 1996,NZL,969,1500m [Mile],Outdoor,800 Metres,22 JAN 2022,1:59.86,"Nga Puna Wai Sports Hub, Christchurch (NZL)"
73,Jared MONK,24 JUN 1996,NZL,969,1500m [Mile],Outdoor,1500 Metres,23 NOV 2013,4:05.85,Timaru (NZL)
74,Jared MONK,24 JUN 1996,NZL,969,1500m [Mile],Outdoor,1500 Metres,07 DEC 2014,3:59.64,Wanganui (NZL)
75,Jared MONK,24 JUN 1996,NZL,969,1500m [Mile],Outdoor,1500 Metres,08 MAR 2015,4:05.06,Wellington (NZL)
76,Jared MONK,24 JUN 1996,NZL,969,1500m [Mile],Outdoor,1500 Metres,06 MAR 2016,3:56.21,Dunedin (NZL)
77,Jared MONK,24 JUN 1996,NZL,969,1500m [Mile],Outdoor,1500 Metres,19 MAR 2017,3:53.49,Hamilton (NZL)
78,Jared MONK,24 JUN 1996,NZL,969,1500m [Mile],Outdoor,1500 Metres,23 FEB 2018,3:52.75,Auckland (NZL)
79,Jared MONK,24 JUN 1996,NZL,969,1500m [Mile],Outdoor,1500 Metres,16 FEB 2019,3:52.16,Auckland (NZL)
80,Jared MONK,24 JUN 1996,NZL,969,1500m [Mile],Outdoor,1500 Metres,23 JAN 2021,4:02.83,"The Caledonian Ground, Dunedin (NZL)"
81,Jared MONK,24 JUN 1996,NZL,969,1500m [Mile],Outdoor,1500 Metres,06 MAR 2022,3:48.39,"Hawkes Bay Sports Park, Hastings (NZL)"
82,Jared MONK,24 JUN 1996,NZL,969,1500m [Mile],Outdoor,One Mile,17 JAN 2017,4:17.15,Wanganui (NZL)
83,Jared MONK,24 JUN 1996,NZL,969,1500m [Mile],Outdoor,One Mile,09 JAN 2021,4:22.22,"Aorangi Stadium, Timaru (NZL)"
84,Jared MONK,24 JUN 1996,NZL,969,1500m [Mile],Outdoor,One Mile,30 JAN 2022,4:07.55,"Cooks Gardens, Wanganui (NZL)"
85,Jared MONK,24 JUN 1996,NZL,969,1500m [Mile],Outdoor,3000 Metres,18 JAN 2019,8:27.03,Wellington (NZL)
86,Jared MONK,24 JUN 1996,NZL,969,1500m [Mile],Outdoor,5000 Metres,21 DEC 2018,14:41.08,Auckland (NZL)
87,Jared MONK,24 JUN 1996,NZL,969,1500m [Mile],Outdoor,10 Kilometres,03 JUL 2022,31:46,Gold Coast (AUS)
88,Florian KALB,13 MAR 1996,GER,969,1500m [1500m ind.],Outdoor,400 Metres,20 JUL 2013,51.75,Wetzlar (GER)
89,Florian KALB,13 MAR 1996,GER,969,1500m [1500m ind.],Outdoor,600 Metres,13 MAY 2018,1:22.87,Pliezhausen (GER)
90,Florian KALB,13 MAR 1996,GER,969,1500m [1500m ind.],Outdoor,600 Metres,12 MAY 2019,1:23.15,Pliezhausen (GER)
91,Florian KALB,13 MAR 1996,GER,969,1500m [1500m ind.],Outdoor,800 Metres,20 JUL 2012,1:57.67,Mönchengladbach (GER)
92,Florian KALB,13 MAR 1996,GER,969,1500m [1500m ind.],Outdoor,800 Metres,22 JUN 2013,1:57.09,Recklinghausen (GER)
93,Florian KALB,13 MAR 1996,GER,969,1500m [1500m ind.],Outdoor,800 Metres,09 AUG 2014,1:53.75,"Wattenscheid, Bochum (GER)"
94,Florian KALB,13 MAR 1996,GER,969,1500m [1500m ind.],Outdoor,800 Metres,23 AUG 2015,1:55.08,Dortmund (GER)
95,Florian KALB,13 MAR 1996,GER,969,1500m [1500m ind.],Outdoor,800 Metres,18 AUG 2016,1:55.66,Bergisch Gladbach (GER)
96,Florian KALB,13 MAR 1996,GER,969,1500m [1500m ind.],Outdoor,800 Metres,24 AUG 2017,1:55.56,Bergisch Gladbach (GER)
97,Florian KALB,13 MAR 1996,GER,969,1500m [1500m ind.],Outdoor,800 Metres,01 JUL 2018,1:52.84,Heilbronn (GER)
98,Florian KALB,13 MAR 1996,GER,969,1500m [1500m ind.],Outdoor,800 Metres,06 JUL 2019,1:52.24,Regensburg (GER)
99,Florian KALB,13 MAR 1996,GER,969,1500m [1500m ind.],Outdoor,800 Metres,28 MAY 2022,1:56.06,"SV 03 Stadion, Tübingen (GER)"
100,Florian KALB,13 MAR 1996,GER,969,1500m [1500m ind.],Outdoor,1000 Metres,27 AUG 2015,2:30.79,Bergisch Gladbach (GER)
101,Florian KALB,13 MAR 1996,GER,969,1500m [1500m ind.],Outdoor,1000 Metres,23 JUL 2016,2:30.48,Wetzlar (GER)
102,Florian KALB,13 MAR 1996,GER,969,1500m [1500m ind.],Outdoor,1000 Metres,31 AUG 2017,2:30.72,Bergisch Gladbach (GER)
103,Florian KALB,13 MAR 1996,GER,969,1500m [1500m ind.],Outdoor,1000 Metres,08 MAY 2022,2:28.90,"Schönbuchstadion, Pliezhausen (GER)"
104,Florian KALB,13 MAR 1996,GER,969,1500m [1500m ind.],Outdoor,1500 Metres,23 JUN 2013,4:12.70,Recklinghausen (GER)
105,Florian KALB,13 MAR 1996,GER,969,1500m [1500m ind.],Outdoor,1500 Metres,03 SEP 2015,3:58.67,Bergisch Gladbach (GER)
106,Florian KALB,13 MAR 1996,GER,969,1500m [1500m ind.],Outdoor,1500 Metres,10 JUL 2016,3:58.73,Mönchengladbach (GER)
107,Florian KALB,13 MAR 1996,GER,969,1500m [1500m ind.],Outdoor,1500 Metres,03 JUL 2019,3:59.67,"Alfred-Barner-Stadion, Riederich (GER)"
108,Florian KALB,13 MAR 1996,GER,969,1500m [1500m ind.],Outdoor,1500 Metres,04 AUG 2021,3:51.77,"TSV Stadion, Pfungstadt (GER)"
109,Florian KALB,13 MAR 1996,GER,969,1500m [1500m ind.],Outdoor,1500 Metres,21 MAY 2022,3:49.21,Karlsruhe (GER)
110,Florian KALB,13 MAR 1996,GER,969,1500m [1500m ind.],Indoor,800 Metres,26 JAN 2014,1:56.74,Bielefeld (GER)
111,Florian KALB,13 MAR 1996,GER,969,1500m [1500m ind.],Indoor,800 Metres,17 JAN 2015,1:56.68,Dortmund (GER)
112,Florian KALB,13 MAR 1996,GER,969,1500m [1500m ind.],Indoor,800 Metres,21 JAN 2017,1:57.98,Dortmund (GER)
113,Florian KALB,13 MAR 1996,GER,969,1500m [1500m ind.],Indoor,1500 Metres,16 JAN 2016,4:01.71,Dortmund (GER)
114,Florian KALB,13 MAR 1996,GER,969,1500m [1500m ind.],Indoor,1500 Metres,29 JAN 2022,3:53.15,"Glaspalast, Sindelfingen (GER)"
115,Kevin LEMAIRE,30 APR 1997,FRA,969,1500m [1500m ind.],Outdoor,800 Metres,23 APR 2022,1:56.32,"Stade Municipal, Marck (FRA)"
116,Kevin LEMAIRE,30 APR 1997,FRA,969,1500m [1500m ind.],Outdoor,1000 Metres,01 MAY 2022,2:28.17,St-Pol-sur-Ternoise (FRA)
117,Kevin LEMAIRE,30 APR 1997,FRA,969,1500m [1500m ind.],Outdoor,1500 Metres,28 JUN 2019,3:54.34,Bruay-la-Buissiere (FRA)
118,Kevin LEMAIRE,30 APR 1997,FRA,969,1500m [1500m ind.],Outdoor,1500 Metres,28 AUG 2020,3:57.18,"Athlétisme St-Wanquet, Halluin (FRA)"
119,Kevin LEMAIRE,30 APR 1997,FRA,969,1500m [1500m ind.],Outdoor,1500 Metres,18 JUN 2021,3:54.97,"Stade Du Moulin, Gravelines (FRA)"
120,Kevin LEMAIRE,30 APR 1997,FRA,969,1500m [1500m ind.],Outdoor,1500 Metres,29 JUN 2022,3:49.95,"Athlétisme St-Wanquet, Halluin (FRA)"
121,Kevin LEMAIRE,30 APR 1997,FRA,969,1500m [1500m ind.],Outdoor,5000 Metres,04 JUN 2022,14:27.78,Montesson (FRA)
122,Kevin LEMAIRE,30 APR 1997,FRA,969,1500m [1500m ind.],Outdoor,10 Kilometres,04 SEP 2021,31:47,Langueux (FRA)
123,Kevin LEMAIRE,30 APR 1997,FRA,969,1500m [1500m ind.],Indoor,1500 Metres,06 FEB 2022,3:53.00,"Arena Stade Couvert, Liévin (FRA)"
124,Miquel DOMENECH,09 FEB 1997,ESP,968,1500m [1500m ind.],Outdoor,500 Metres,01 APR 2017,1:05.10,Manresa (ESP)
125,Miquel DOMENECH,09 FEB 1997,ESP,968,1500m [1500m ind.],Outdoor,800 Metres,12 JUN 2013,1:59.58,Barcelona (ESP)
126,Miquel DOMENECH,09 FEB 1997,ESP,968,1500m [1500m ind.],Outdoor,800 Metres,11 JUN 2014,1:55.96,Barcelona (ESP)
127,Miquel DOMENECH,09 FEB 1997,ESP,968,1500m [1500m ind.],Outdoor,800 Metres,18 APR 2015,1:55.49,Gavá (ESP)
128,Miquel DOMENECH,09 FEB 1997,ESP,968,1500m [1500m ind.],Outdoor,800 Metres,03 JUL 2016,1:52.33,Castellón (ESP)
129,Miquel DOMENECH,09 FEB 1997,ESP,968,1500m [1500m ind.],Outdoor,800 Metres,02 JUL 2017,1:51.56,Torrent (ESP)
130,Miquel DOMENECH,09 FEB 1997,ESP,968,1500m [1500m ind.],Outdoor,800 Metres,06 JUN 2018,1:50.79,Barcelona (ESP)
131,Miquel DOMENECH,09 FEB 1997,ESP,968,1500m [1500m ind.],Outdoor,800 Metres,15 JUN 2019,1:50.73,Gavá (ESP)
132,Miquel DOMENECH,09 FEB 1997,ESP,968,1500m [1500m ind.],Outdoor,800 Metres,29 AUG 2020,1:53.29,Mollet del Vallès (ESP)
133,Miquel DOMENECH,09 FEB 1997,ESP,968,1500m [1500m ind.],Outdoor,800 Metres,09 JUN 2021,1:49.93,"Estadi Joan Serrahima, Barcelona (ESP)"
134,Miquel DOMENECH,09 FEB 1997,ESP,968,1500m [1500m ind.],Outdoor,800 Metres,18 MAY 2022,1:50.39,"Estadi Municipal, Mataró (ESP)"
135,Miquel DOMENECH,09 FEB 1997,ESP,968,1500m [1500m ind.],Outdoor,1000 Metres,01 APR 2017,2:32.86,Manresa (ESP)
136,Miquel DOMENECH,09 FEB 1997,ESP,968,1500m [1500m ind.],Outdoor,1500 Metres,07 JUN 2017,3:57.72,Barcelona (ESP)
137,Miquel DOMENECH,09 FEB 1997,ESP,968,1500m [1500m ind.],Outdoor,1500 Metres,02 JUN 2018,3:47.79,Barcelona (ESP)
138,Miquel DOMENECH,09 FEB 1997,ESP,968,1500m [1500m ind.],Outdoor,1500 Metres,19 JUN 2019,3:45.97,Barcelona (ESP)
139,Miquel DOMENECH,09 FEB 1997,ESP,968,1500m [1500m ind.],Outdoor,1500 Metres,01 JUL 2021,3:43.87,"Estadi Joan Serrahima, Barcelona (ESP)"
140,Miquel DOMENECH,09 FEB 1997,ESP,968,1500m [1500m ind.],Outdoor,1500 Metres,30 APR 2022,3:53.25,Gandía (ESP)
141,Miquel DOMENECH,09 FEB 1997,ESP,968,1500m [1500m ind.],Outdoor,5000 Metres,06 MAR 2021,14:46.33,Lloret de Mar (ESP)
142,Miquel DOMENECH,09 FEB 1997,ESP,968,1500m [1500m ind.],Outdoor,5 Kilometres,31 DEC 2020,14:37,Barcelona (ESP)
143,Miquel DOMENECH,09 FEB 1997,ESP,968,1500m [1500m ind.],Outdoor,5 Kilometres,31 DEC 2021,14:27,Barcelona (ESP)
144,Miquel DOMENECH,09 FEB 1997,ESP,968,1500m [1500m ind.],Indoor,500 Metres,18 DEC 2016,1:06.64,Sabadell (ESP)
145,Miquel DOMENECH,09 FEB 1997,ESP,968,1500m [1500m ind.],Indoor,500 Metres,17 DEC 2017,1:06.54,Sabadell (ESP)
146,Miquel DOMENECH,09 FEB 1997,ESP,968,1500m [1500m ind.],Indoor,800 Metres,01 MAR 2014,1:59.60,Sabadell (ESP)
147,Miquel DOMENECH,09 FEB 1997,ESP,968,1500m [1500m ind.],Indoor,800 Metres,15 FEB 2015,1:56.87,Sabadell (ESP)
148,Miquel DOMENECH,09 FEB 1997,ESP,968,1500m [1500m ind.],Indoor,800 Metres,19 FEB 2016,1:55.02,Sabadell (ESP)
149,Miquel DOMENECH,09 FEB 1997,ESP,968,1500m [1500m ind.],Indoor,800 Metres,07 FEB 2017,1:52.22,Sabadell (ESP)
150,Miquel DOMENECH,09 FEB 1997,ESP,968,1500m [1500m ind.],Indoor,800 Metres,13 FEB 2018,1:52.04,Sabadell (ESP)
151,Miquel DOMENECH,09 FEB 1997,ESP,968,1500m [1500m ind.],Indoor,800 Metres,10 FEB 2019,1:51.23,Salamanca (ESP)
152,Miquel DOMENECH,09 FEB 1997,ESP,968,1500m [1500m ind.],Indoor,800 Metres,17 JAN 2020,1:53.20,"Pista Coberta de Catalunya, Sabadell (ESP)"
153,Miquel DOMENECH,09 FEB 1997,ESP,968,1500m [1500m ind.],Indoor,800 Metres,12 FEB 2021,1:53.51,"Palau Sant Jordi, Barcelona (ESP)"
154,Miquel DOMENECH,09 FEB 1997,ESP,968,1500m [1500m ind.],Indoor,800 Metres,20 FEB 2022,1:52.18,"Pista Coberta de Catalunya, Sabadell (ESP)"
155,Miquel DOMENECH,09 FEB 1997,ESP,968,1500m [1500m ind.],Indoor,1500 Metres,11 JAN 2019,3:51.95,Sabadell (ESP)
156,Miquel DOMENECH,09 FEB 1997,ESP,968,1500m [1500m ind.],Indoor,1500 Metres,09 FEB 2020,3:50.67,"Pista Coberta de Catalunya, Sabadell (ESP)"
157,Miquel DOMENECH,09 FEB 1997,ESP,968,1500m [1500m ind.],Indoor,1500 Metres,31 JAN 2021,3:48.51,"Palau Sant Jordi, Barcelona (ESP)"
158,Miquel DOMENECH,09 FEB 1997,ESP,968,1500m [1500m ind.],Indoor,1500 Metres,16 JAN 2022,3:48.62,"Pista Coberta de Catalunya, Sabadell (ESP)"
159,Matthew KLEIMAN,2002,USA,968,1500m [Mile ind.],Outdoor,1500 Metres,08 JUN 2019,3:50.47,"Waltham, MA (USA)"
160,Matthew KLEIMAN,2002,USA,968,1500m [Mile ind.],Outdoor,1500 Metres,02 MAY 2021,4:01.65,"Scotty Wood Stadium, Frank Marino Field, Allentown, PA (USA)"
161,Matthew KLEIMAN,2002,USA,968,1500m [Mile ind.],Outdoor,1500 Metres,15 APR 2022,3:53.03,"Lewisburg, PA (USA)"
162,Matthew KLEIMAN,2002,USA,968,1500m [Mile ind.],Outdoor,One Mile,16 JUN 2019,4:15.31,"Greensboro, NC (USA)"
163,Matthew KLEIMAN,2002,USA,968,1500m [Mile ind.],Outdoor,5000 Metres,11 APR 2021,14:52.39,"George Manson Stadium, Fairfax, VA (USA)"
164,Matthew KLEIMAN,2002,USA,968,1500m [Mile ind.],Indoor,1000 Metres,11 JAN 2020,2:31.80,"Ocean Breeze Athl. Complex, New York, NY (USA)"
165,Matthew KLEIMAN,2002,USA,968,1500m [Mile ind.],Indoor,1000 Metres,29 JAN 2022,2:26.34,"George Mason-Rec. Sports Complex, Fairfax, VA (USA)"
166,Matthew KLEIMAN,2002,USA,968,1500m [Mile ind.],Indoor,One Mile,28 JAN 2018,4:27.96,"Reggie Lewis Center, Boston, MA (USA)"
167,Matthew KLEIMAN,2002,USA,968,1500m [Mile ind.],Indoor,One Mile,23 FEB 2019,4:17.60,"Reggie Lewis Center, Boston, MA (USA)"
168,Matthew KLEIMAN,2002,USA,968,1500m [Mile ind.],Indoor,One Mile,25 JAN 2020,4:17.38,"Gerhard Fieldhouse, Lewisburg, PA (USA)"
169,Matthew KLEIMAN,2002,USA,968,1500m [Mile ind.],Indoor,One Mile,12 MAR 2022,4:07.84,"JDL Fast Track, Winston Salem, NC (USA)"
170,Matthew KLEIMAN,2002,USA,968,1500m [Mile ind.],Indoor,3000 Metres,31 JAN 2020,8:34.33,"Armory Track, New York, NY (USA)"
171,Matthew KLEIMAN,2002,USA,968,1500m [Mile ind.],Indoor,3000 Metres,03 DEC 2021,8:34.82,"Ocean Breeze Athl. Complex, New York, NY (USA)"
172,Tuure HAAPANEN,13 DEC 2002,FIN,968,1500m,Outdoor,600 Metres,25 JUL 2022,1:23.91,Lieto (FIN)
173,Tuure HAAPANEN,13 DEC 2002,FIN,968,1500m,Outdoor,800 Metres,21 JUN 2019,1:57.58,Somero (FIN)
174,Tuure HAAPANEN,13 DEC 2002,FIN,968,1500m,Outdoor,800 Metres,22 JUL 2020,1:54.98,"Ratina Stadium, Tampere (FIN)"
175,Tuure HAAPANEN,13 DEC 2002,FIN,968,1500m,Outdoor,800 Metres,28 AUG 2021,1:55.01,"Ratina Stadium, Tampere (FIN)"
176,Tuure HAAPANEN,13 DEC 2002,FIN,968,1500m,Outdoor,1500 Metres,25 JUN 2019,3:56.10,Turku (FIN)
177,Tuure HAAPANEN,13 DEC 2002,FIN,968,1500m,Outdoor,1500 Metres,15 JUL 2020,3:54.61,"Stadion, Lahti (FIN)"
178,Tuure HAAPANEN,13 DEC 2002,FIN,968,1500m,Outdoor,1500 Metres,29 JUN 2021,3:50.17,"Kaarlen kenttä, Vaasa (FIN)"
179,Tuure HAAPANEN,13 DEC 2002,FIN,968,1500m,Outdoor,1500 Metres,02 JUL 2022,3:50.01,Jämsä (FIN)
